필드,설명,타입
market,종목구분코드,String
trade_date,최근거래일자(UTC),String
trade_time,최근거래시각(UTC),String
trade_date_kst,최근거래일자(KST),String
trade_time_kst,최근거래시각(KST),String
trade_timestamp,최근거래일시(UTC),String
opening_price,시가,Double
high_price,고가,Double
low_price,저가,Double
trade_price,종가(현재가),Double
prev_closing_price,전일종가(UTC0시기준),Double
change,EVEN:보합/RISE:상승/FALL:하락,String
change_price,변화액의절대값,Double
change_rate,변화율의절대값,Double
signed_change_price,부호가있는변화액,Double
signed_change_rate,부호가있는변화율,Double
trade_volume,가장최근거래량,Double
acc_trade_price,누적거래대금(UTC0시기준),Double
acc_trade_price_24h,24시간누적거래대금,Double
acc_trade_volume,누적거래량(UTC0시기준),Double
acc_trade_volume_24h,24시간누적거래량,Double
highest_52_week_price,52주신고가,Double
highest_52_week_date,52주신고가달성일
lowest_52_week_price,52주신저가,Double
lowest_52_week_date,52주신저가달성일,String
timestamp,타임스탬프,Long
